,tag,content,counts,link_next,link_prev,label
0,html body text title  ,"大话四川-[原创]朋友,请正确客观认识凉山、西昌！错误信息[麻辣社区]",8,0,0,0
1,html body text div  ,	,53,1,0,0
2,html body text div div div a  ,恢复默认设置,61,1,1,0
3,html body text div div div a b  ,默认风格[2005-10],66,1,1,0
4,html body text div div div a  ,默认风格,70,1,1,0
5,html body text div div div a  ,秋意盎然,73,1,1,0
6,html body text div div div a  ,棕红预览,76,1,1,0
7,html body text div div div a  ,紫色淡雅,79,1,1,0
8,html body text div div div a  ,青青河草,82,1,1,0
9,html body text div div div a  ,橘子红了,85,1,1,0
10,html body text div div div a  ,红红夜思,88,1,1,0
11,html body text div div div a  ,粉色回忆,91,1,1,0
12,html body text div div div a  ,水晶紫色,94,1,1,0
13,html body text div div div a  ,黑白风格,97,1,1,0
14,html body text div div div a  ,麻辣风格,100,1,1,0
15,html body text div div div a  ,浓浓绿意,103,1,1,0
16,html body text div div div a  ,蓝色水晶,106,1,1,0
17,html body text div div a  ,登录,112,1,1,0
18,html body text div div a  ,注册,116,1,1,0
19,html body text div div a  ,搜索,124,1,1,0
20,html body text div div a  ,风格,128,1,1,0
21,html body text div div a  ,状态,132,1,1,0
22,html body text div div a  ,展区,137,1,1,0
23,html body text div div a  ,道具中心,141,1,1,0
24,html body text div div div a  ,麻辣股市,148,1,1,0
25,html body text div div div a  ,银行中心,153,1,1,0
26,html body text div div div a  ,社区农场,158,1,1,0
27,html body text div div div a  ,版主工资,163,1,1,0
28,html body text div div div a  ,开心词典,168,1,1,0
29,html body text div div div a  ,社区相册,173,1,1,0
30,html body text div div div a  ,宠物中心,178,1,1,0
31,html body text div div div a  ,社区监狱,183,1,1,0
32,html body text div div div a  ,社区法院,188,1,1,0
33,html body text div div div a  ,麻辣房产,193,1,1,0
34,html body text div div div a  ,恋爱结婚,198,1,1,0
35,html body text div div div a  ,虚拟形象,203,1,1,0
36,html body text div div div a  ,许愿塔,208,1,1,0
37,html body text div div div a font  ,择吉黄历,214,1,1,0
38,html body text div div div a font  ,免费算命,220,1,1,0
39,html body text div div div a  ,麻辣赛马,225,1,1,0
40,html body text div div div a  ,彩票中心,230,1,1,0
41,html body text div div a  ,设施,238,1,1,0
42,html body text div div a  ,热帖,242,1,1,0
43,html body text div div a  ,新贴,246,1,1,0
44,html body text div div a  ,会员,250,1,1,0
45,html body text div div a  ,帮助,254,1,1,0
46,html body text div div a  ,聊天室,258,1,1,0
47,html body text div div a font  ,麻辣博客,263,1,1,0
48,html body text div div a  ,游戏大厅,267,1,1,0
49,html body text div div a  ,天气预报,271,1,1,0
50,html body text div div a  ,我能做什么,275,1,1,0
51,html body text div div a  ,川网,280,1,1,0
52,html body text div div a  ,论坛首页,284,0,1,0
53,html body text table tr td a b  ,群众呼声,295,1,0,0
54,html body text table tr td a b  ,警民交流,302,1,1,0
55,html body text table tr td a b  ,西部生态,309,1,1,0
56,html body text table tr td a b  ,大话四川,316,1,1,0
57,html body text table tr td a b  ,摄影,323,1,1,0
58,html body text table tr td a b  ,真我,327,1,1,0
59,html body text table tr td a b  ,美图,333,1,1,0
60,html body text table tr td a b  ,视频,337,1,1,0
61,html body text table tr td a b  ,情感空间,344,1,1,0
62,html body text table tr td a b  ,文学沙龙,351,1,1,0
63,html body text table tr td a b  ,音乐动漫,358,1,1,0
64,html body text table tr td a b  ,嘻嘻哈哈,365,1,1,0
65,html body text table tr td a b  ,四川旅游,372,1,1,0
66,html body text table tr td a b  ,广告信息,379,1,1,0
67,html body text table tr td b a  ,日记人生,386,1,1,0
68,html body text table tr td a b  ,麻辣杂谈,396,1,1,0
69,html body text table tr td a b  ,记者江湖,403,1,1,0
70,html body text table tr td a b  ,中国川剧,410,1,1,0
71,html body text table tr td a b  ,指上谈兵,417,1,1,0
72,html body text table tr td a b  ,白兔股市,424,1,1,0
73,html body text table tr td a b  ,绝色美女,430,1,1,0
74,html body text table tr td b a b  ,两性,437,1,1,0
75,html body text table tr td b a b  ,健康,440,1,1,0
76,html body text table tr td a b  ,体育,447,1,1,0
77,html body text table tr td a b  ,活动,451,1,1,0
78,html body text table tr td a b  ,影视八卦,457,1,1,0
79,html body text table tr td a b  ,手机,464,1,1,0
80,html body text table tr td a b  ,汽车,468,1,1,0
81,html body text table tr td a b  ,吃遍四川,474,1,1,0
82,html body text table tr td a b  ,技术,481,1,1,0
83,html body text table tr td a b  ,租房,485,1,1,0
84,html body text table tr td b a  ,博客,492,1,1,0
85,html body text table tr td a b  ,留言,496,0,1,0
86,html body text div a  ,麻辣社区,510,1,0,0
87,html body text div  ,→,511,1,1,0
88,html body text div a  ,错误信息,513,1,1,0
89,html body text div  ,"→ [原创]朋友,请正确客观认识凉山、西昌！错误信息",514,1,1,0
90,html body text div  ,【,516,1,1,0
91,html body text div b a font  ,欢迎建立你的个人博客!,520,1,1,0
92,html body text div  ,】【,521,1,1,0
93,html body text div a b  ,全文搜索,524,1,1,0
94,html body text div  ,】,525,1,1,0
95,html body text table tr th  ,"麻辣社区-大话四川-[原创]朋友,请正确客观认识凉山、西昌！错误信息",533,1,1,1
96,html body text table tr td b  ,"您在""",538,1,1,1
97,html body text table tr td b font  ,"[原创]朋友,请正确客观认识凉山、西昌！",540,1,1,1
98,html body text table tr td b  ,"""的时候发生错误,共有1项,下面是错误的详细信息",541,1,1,1
99,html body text table tr td li  ,错误的版面参数！请确认您是从有效的连接进入。,547,1,1,1
100,html body text table tr td li  ,请仔细阅读论坛帮助文件，确保您有相应的操作权限。,553,1,1,1
101,html body text table tr td a  ,<< 返回上一页,559,0,1,0
102,html body text form table tr th  ,您尚未登录，您可以输入您的用户名、密码登录以便进行您的操作。,571,1,0,0
103,html body text form table tr td  ,请输入您的用户名,576,1,1,0
104,html body text form table tr td a  ,没有注册？,582,1,1,0
105,html body text form table tr td  ,请输入您的密码,587,1,1,0
106,html body text form table tr td a  ,忘记密码？,593,1,1,0
107,html body text form table tr td b  ,Cookie 选项,599,1,1,0
108,html body text form table tr td  ,请选择你的 Cookie 保存时间，,601,1,1,0
109,html body text form table tr td  ,下次访问可以方便输入。,603,1,1,0
110,html body text form table tr td  ,不保存，关闭浏览器就失效,607,1,1,0
111,html body text form table tr td  ,保存一天,611,1,1,0
112,html body text form table tr td  ,保存一月,615,1,1,0
113,html body text form table tr td  ,保存一年,619,1,1,0
114,html body text form table tr td b  ,隐身登录,626,1,1,0
115,html body text form table tr td  ,您可以选择隐身登录，论坛会员将在用户列表看不到您的信息。,628,1,1,0
116,html body text form table tr td  ,正常登录,632,1,1,0
117,html body text form table tr td  ,隐身登录,636,0,1,0
